"filename", "language", "C#", "Markdown", "XML", "JSON", "comment", "blank", "total"
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\HomeFolder\BannersView.xaml.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\HomeFolder\CategoriesView.xaml", "XML", 0, 0, 68, 0, 0, 2, 70
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\HomeFolder\CategoriesView.xaml.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\HomeFolder\HomePage.xaml", "XML", 0, 0, 48, 0, 0, 2, 50
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\HomeFolder\HomePage.xaml.cs", "C#", 36, 0, 0, 0, 4, 7, 47
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\HomeFolder\TrendingProductsView.xaml", "XML", 0, 0, 42, 0, 0, 2, 44
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\HomeFolder\TrendingProductsView.xaml.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\LoginFolder\LoginBoxView.xaml", "XML", 0, 0, 34, 0, 0, 0, 34
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\LoginFolder\LoginBoxView.xaml.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\LoginFolder\LoginFooterView.xaml", "XML", 0, 0, 29, 0, 0, 0, 29
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\LoginFolder\LoginFooterView.xaml.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\LoginFolder\LoginImageView.xaml", "XML", 0, 0, 22, 0, 0, 2, 24
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\LoginFolder\LoginImageView.xaml.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\LoginFolder\LoginPage.xaml", "XML", 0, 0, 22, 0, 0, 1, 23
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\LoginFolder\LoginPage.xaml.cs", "C#", 15, 0, 0, 0, 0, 1, 16
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\OrderDetailFolder\OrderDetailPage.xaml", "XML", 0, 0, 61, 0, 0, 1, 62
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\OrderDetailFolder\OrderDetailPage.xaml.cs", "C#", 22, 0, 0, 0, 0, 2, 24
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\OrderFolder\OrderPage.xaml", "XML", 0, 0, 28, 0, 0, 1, 29
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\OrderFolder\OrderPage.xaml.cs", "C#", 22, 0, 0, 0, 0, 4, 26
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\OrderFolder\OrderView.xaml", "XML", 0, 0, 7, 0, 0, 1, 8
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\OrderFolder\OrderView.xaml.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\ProductDetailFolder\ProductDetailPage.xaml", "XML", 0, 0, 117, 0, 0, 2, 119
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\ProductDetailFolder\ProductDetailPage.xaml.cs", "C#", 21, 0, 0, 0, 0, 3, 24
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\RegisterFolder\RegisterPage.xaml", "XML", 0, 0, 102, 0, 0, 2, 104
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\RegisterFolder\RegisterPage.xaml.cs", "C#", 15, 0, 0, 0, 0, 1, 16
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\ShoppingCartFolder\ShoppingCartItemsView.xaml", "XML", 0, 0, 13, 0, 0, 0, 13
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\ShoppingCartFolder\ShoppingCartItemsView.xaml.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\ShoppingCartFolder\ShoppingPage.xaml", "XML", 0, 0, 42, 0, 0, 2, 44
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\ShoppingCartFolder\ShoppingPage.xaml.cs", "C#", 29, 0, 0, 0, 4, 5, 38
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\ShoppingCartFolder\TotalView.xaml", "XML", 0, 0, 38, 0, 0, 0, 38
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\ShoppingCartFolder\TotalView.xaml.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\ApplicationServiceRegistration.cs", "C#", 15, 0, 0, 0, 0, 4, 19
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Contracts\IAsyncRepository.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Contracts\ICategoryRepository.cs", "C#", 7, 0, 0, 0, 0, 2, 9
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Contracts\IOrderRepository.cs", "C#", 9, 0, 0, 0, 0, 3, 12
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Contracts\IProductRepository.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Contracts\IShoppingCartItemRepository.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\DTOs\AuthRequestDTO.cs", "C#", 8, 0, 0, 0, 0, 0, 8
